Departing_Port,Arriving_Port,Airline,Month_Start,Flights,Departures_Delayed,Arrivals_Delayed
Adelaide,Brisbane,Qantas,2004-01-01,93,12.0,8.0
Adelaide,Canberra,Qantas,2004-01-01,48,3.0,3.0
Adelaide,Gold Coast,Qantas,2004-01-01,9,1.0,1.0
Adelaide,Melbourne,Qantas,2004-01-01,350,33.0,25.0
Adelaide,Perth,Qantas,2004-01-01,130,9.0,5.0
Adelaide,Sydney,Qantas,2004-01-01,331,18.0,8.0
Alice Springs,Sydney,Qantas,2004-01-01,33,2.0,0.0
Brisbane,Adelaide,Qantas,2004-01-01,93,27.0,11.0
Brisbane,Cairns,Qantas,2004-01-01,207,34.0,17.0
Brisbane,Canberra,Qantas,2004-01-01,75,10.0,8.0
Brisbane,Darwin,Qantas,2004-01-01,46,11.0,5.0
Brisbane,Melbourne,Qantas,2004-01-01,492,82.0,65.0
Brisbane,Perth,Qantas,2004-01-01,62,13.0,12.0
Brisbane,Sydney,Qantas,2004-01-01,677,101.0,82.0
Brisbane,Townsville,Qantas,2004-01-01,91,15.0,16.0
Broome,Perth,Qantas,2004-01-01,29,5.0,1.0
Cairns,Brisbane,Qantas,2004-01-01,203,17.0,23.0
Cairns,Melbourne,Qantas,2004-01-01,43,9.0,5.0
Cairns,Sydney,Qantas,2004-01-01,134,9.0,6.0
Canberra,Adelaide,Qantas,2004-01-01,52,4.0,1.0
Canberra,Brisbane,Qantas,2004-01-01,75,2.0,4.0
Canberra,Melbourne,Qantas,2004-01-01,199,8.0,9.0
Canberra,Sydney,Qantas,2004-01-01,95,7.0,5.0
Darwin,Brisbane,Qantas,2004-01-01,46,3.0,10.0
Darwin,Sydney,Qantas,2004-01-01,32,3.0,3.0
Gold Coast,Adelaide,Qantas,2004-01-01,9,2.0,2.0
Gold Coast,Melbourne,Qantas,2004-01-01,93,25.0,17.0
Gold Coast,Sydney,Qantas,2004-01-01,204,35.0,21.0
Kalgoorlie,Perth,Qantas,2004-01-01,43,3.0,1.0
Melbourne,Adelaide,Qantas,2004-01-01,352,36.0,21.0
Melbourne,Brisbane,Qantas,2004-01-01,493,55.0,58.0
Melbourne,Cairns,Qantas,2004-01-01,43,6.0,3.0
Melbourne,Canberra,Qantas,2004-01-01,175,24.0,17.0
Melbourne,Gold Coast,Qantas,2004-01-01,93,11.0,12.0
Melbourne,Perth,Qantas,2004-01-01,198,35.0,40.0
Melbourne,Sydney,Qantas,2004-01-01,799,76.0,93.0
Perth,Adelaide,Qantas,2004-01-01,125,10.0,3.0
Perth,Brisbane,Qantas,2004-01-01,62,15.0,7.0
Perth,Broome,Qantas,2004-01-01,29,1.0,2.0
Perth,Kalgoorlie,Qantas,2004-01-01,43,2.0,2.0
Perth,Melbourne,Qantas,2004-01-01,203,52.0,37.0
Perth,Sydney,Qantas,2004-01-01,173,27.0,8.0
Sydney,Adelaide,Qantas,2004-01-01,331,38.0,18.0
Sydney,Alice Springs,Qantas,2004-01-01,33,6.0,0.0
Sydney,Brisbane,Qantas,2004-01-01,682,68.0,83.0
Sydney,Cairns,Qantas,2004-01-01,132,17.0,8.0
Sydney,Canberra,Qantas,2004-01-01,122,9.0,8.0
Sydney,Darwin,Qantas,2004-01-01,32,11.0,10.0
Sydney,Gold Coast,Qantas,2004-01-01,207,15.0,20.0
Sydney,Melbourne,Qantas,2004-01-01,785,102.0,77.0
Sydney,Perth,Qantas,2004-01-01,177,22.0,35.0
Townsville,Brisbane,Qantas,2004-01-01,91,11.0,13.0
Albury,Sydney,QantasLink,2004-01-01,103,19.0,18.0
Brisbane,Cairns,QantasLink,2004-01-01,15,1.0,1.0
Brisbane,Canberra,QantasLink,2004-01-01,47,3.0,1.0
Brisbane,Mackay,QantasLink,2004-01-01,113,9.0,9.0
Brisbane,Rockhampton,QantasLink,2004-01-01,160,11.0,15.0
Brisbane,Sydney,QantasLink,2004-01-01,1,0.0,0.0
Brisbane,Townsville,QantasLink,2004-01-01,54,9.0,11.0
Broome,Perth,QantasLink,2004-01-01,41,0.0,0.0
Burnie,Melbourne,QantasLink,2004-01-01,119,12.0,23.0
Cairns,Brisbane,QantasLink,2004-01-01,15,1.0,0.0
Canberra,Brisbane,QantasLink,2004-01-01,47,3.0,5.0
Canberra,Melbourne,QantasLink,2004-01-01,75,5.0,12.0
Canberra,Sydney,QantasLink,2004-01-01,374,43.0,50.0
Coffs Harbour,Sydney,QantasLink,2004-01-01,159,19.0,23.0
Devonport,Melbourne,QantasLink,2004-01-01,165,12.0,23.0
Dubbo,Sydney,QantasLink,2004-01-01,85,10.0,9.0
Gold Coast,Melbourne,QantasLink,2004-01-01,30,1.0,0.0
Gold Coast,Sydney,QantasLink,2004-01-01,36,2.0,1.0
Hobart,Melbourne,QantasLink,2004-01-01,280,37.0,41.0
Kalgoorlie,Perth,QantasLink,2004-01-01,31,3.0,3.0
Launceston,Melbourne,QantasLink,2004-01-01,159,21.0,16.0
Mackay,Brisbane,QantasLink,2004-01-01,113,5.0,6.0
Melbourne,Burnie,QantasLink,2004-01-01,120,11.0,11.0
Melbourne,Canberra,QantasLink,2004-01-01,75,1.0,3.0
Melbourne,Devonport,QantasLink,2004-01-01,165,14.0,14.0
Melbourne,Gold Coast,QantasLink,2004-01-01,31,4.0,9.0
Melbourne,Hobart,QantasLink,2004-01-01,277,49.0,41.0
Melbourne,Launceston,QantasLink,2004-01-01,159,28.0,26.0
Melbourne,Mildura,QantasLink,2004-01-01,105,11.0,12.0
Melbourne,Sunshine Coast,QantasLink,2004-01-01,30,5.0,6.0
Mildura,Melbourne,QantasLink,2004-01-01,105,8.0,9.0
Perth,Broome,QantasLink,2004-01-01,41,0.0,0.0
Perth,Kalgoorlie,QantasLink,2004-01-01,31,3.0,3.0
Rockhampton,Brisbane,QantasLink,2004-01-01,124,5.0,6.0
Sunshine Coast,Melbourne,QantasLink,2004-01-01,30,5.0,2.0
Sunshine Coast,Sydney,QantasLink,2004-01-01,77,10.0,9.0
Sydney,Albury,QantasLink,2004-01-01,103,12.0,21.0
Sydney,Canberra,QantasLink,2004-01-01,378,29.0,46.0
Sydney,Coffs Harbour,QantasLink,2004-01-01,162,17.0,24.0
Sydney,Dubbo,QantasLink,2004-01-01,85,6.0,7.0
Sydney,Gold Coast,QantasLink,2004-01-01,36,7.0,8.0
Sydney,Sunshine Coast,QantasLink,2004-01-01,78,10.0,10.0
Sydney,Wagga Wagga,QantasLink,2004-01-01,101,14.0,21.0
Townsville,Brisbane,QantasLink,2004-01-01,54,8.0,8.0
Wagga Wagga,Sydney,QantasLink,2004-01-01,100,15.0,21.0
Albury,Sydney,Regional Express,2004-01-01,65,1.0,4.0
Burnie,Melbourne,Regional Express,2004-01-01,62,12.0,12.0
Canberra,Sydney,Regional Express,2004-01-01,86,6.0,8.0
Devonport,Melbourne,Regional Express,2004-01-01,61,12.0,12.0
Dubbo,Sydney,Regional Express,2004-01-01,75,4.0,5.0
Melbourne,Burnie,Regional Express,2004-01-01,62,15.0,14.0
Melbourne,Devonport,Regional Express,2004-01-01,62,13.0,13.0
Melbourne,Mildura,Regional Express,2004-01-01,67,8.0,7.0
Mildura,Melbourne,Regional Express,2004-01-01,67,7.0,10.0
Sydney,Albury,Regional Express,2004-01-01,65,4.0,3.0
Sydney,Canberra,Regional Express,2004-01-01,85,11.0,9.0
Sydney,Dubbo,Regional Express,2004-01-01,75,7.0,5.0
Sydney,Wagga Wagga,Regional Express,2004-01-01,66,6.0,8.0
Wagga Wagga,Sydney,Regional Express,2004-01-01,66,1.0,4.0
Broome,Perth,Skywest,2004-01-01,12,0.0,0.0
Kalgoorlie,Perth,Skywest,2004-01-01,29,1.0,1.0
Perth,Broome,Skywest,2004-01-01,12,1.0,0.0
Perth,Kalgoorlie,Skywest,2004-01-01,29,3.0,3.0
Adelaide,Brisbane,Virgin Australia,2004-01-01,62,20.0,27.0
Adelaide,Canberra,Virgin Australia,2004-01-01,27,0.0,0.0
Adelaide,Gold Coast,Virgin Australia,2004-01-01,31,3.0,4.0
Adelaide,Melbourne,Virgin Australia,2004-01-01,198,37.0,36.0
Adelaide,Perth,Virgin Australia,2004-01-01,61,13.0,18.0
Adelaide,Sydney,Virgin Australia,2004-01-01,154,11.0,12.0
Alice Springs,Sydney,Virgin Australia,2004-01-01,30,0.0,0.0
Brisbane,Adelaide,Virgin Australia,2004-01-01,62,5.0,4.0
Brisbane,Cairns,Virgin Australia,2004-01-01,93,15.0,11.0
Brisbane,Canberra,Virgin Australia,2004-01-01,62,8.0,11.0
Brisbane,Darwin,Virgin Australia,2004-01-01,31,9.0,7.0
Brisbane,Mackay,Virgin Australia,2004-01-01,61,10.0,11.0
Brisbane,Melbourne,Virgin Australia,2004-01-01,300,44.0,41.0
Brisbane,Perth,Virgin Australia,2004-01-01,31,12.0,8.0
Brisbane,Rockhampton,Virgin Australia,2004-01-01,31,3.0,4.0
Brisbane,Sydney,Virgin Australia,2004-01-01,469,76.0,74.0
Brisbane,Townsville,Virgin Australia,2004-01-01,71,23.0,23.0
Cairns,Brisbane,Virgin Australia,2004-01-01,93,6.0,8.0
Cairns,Melbourne,Virgin Australia,2004-01-01,60,17.0,15.0
Cairns,Sydney,Virgin Australia,2004-01-01,72,0.0,2.0
Canberra,Adelaide,Virgin Australia,2004-01-01,26,3.0,2.0
Canberra,Brisbane,Virgin Australia,2004-01-01,62,0.0,2.0
Canberra,Melbourne,Virgin Australia,2004-01-01,61,8.0,11.0
Canberra,Sydney,Virgin Australia,2004-01-01,31,2.0,3.0
Coffs Harbour,Sydney,Virgin Australia,2004-01-01,31,8.0,9.0
Darwin,Brisbane,Virgin Australia,2004-01-01,31,4.0,5.0
Darwin,Sydney,Virgin Australia,2004-01-01,21,8.0,5.0
Gold Coast,Adelaide,Virgin Australia,2004-01-01,31,3.0,3.0
Gold Coast,Melbourne,Virgin Australia,2004-01-01,155,35.0,31.0
Gold Coast,Sydney,Virgin Australia,2004-01-01,208,36.0,30.0
Hobart,Melbourne,Virgin Australia,2004-01-01,124,27.0,38.0
Launceston,Melbourne,Virgin Australia,2004-01-01,96,18.0,15.0
Mackay,Brisbane,Virgin Australia,2004-01-01,61,8.0,10.0
Melbourne,Adelaide,Virgin Australia,2004-01-01,201,41.0,52.0
Melbourne,Brisbane,Virgin Australia,2004-01-01,300,60.0,73.0
Melbourne,Cairns,Virgin Australia,2004-01-01,60,11.0,13.0
Melbourne,Canberra,Virgin Australia,2004-01-01,61,5.0,10.0
Melbourne,Gold Coast,Virgin Australia,2004-01-01,155,39.0,44.0
Melbourne,Hobart,Virgin Australia,2004-01-01,124,25.0,24.0
Melbourne,Launceston,Virgin Australia,2004-01-01,96,21.0,15.0
Melbourne,Perth,Virgin Australia,2004-01-01,124,20.0,33.0
Melbourne,Sunshine Coast,Virgin Australia,2004-01-01,31,6.0,7.0
Melbourne,Sydney,Virgin Australia,2004-01-01,559,78.0,85.0
Perth,Adelaide,Virgin Australia,2004-01-01,61,5.0,5.0
Perth,Brisbane,Virgin Australia,2004-01-01,31,2.0,0.0
Perth,Melbourne,Virgin Australia,2004-01-01,124,14.0,13.0
Perth,Sydney,Virgin Australia,2004-01-01,124,17.0,5.0
Rockhampton,Brisbane,Virgin Australia,2004-01-01,31,3.0,3.0
Sunshine Coast,Melbourne,Virgin Australia,2004-01-01,31,9.0,2.0
Sunshine Coast,Sydney,Virgin Australia,2004-01-01,50,9.0,7.0
Sydney,Adelaide,Virgin Australia,2004-01-01,151,14.0,18.0
Sydney,Alice Springs,Virgin Australia,2004-01-01,30,5.0,1.0
Sydney,Brisbane,Virgin Australia,2004-01-01,469,67.0,76.0
Sydney,Cairns,Virgin Australia,2004-01-01,72,6.0,3.0
Sydney,Canberra,Virgin Australia,2004-01-01,31,2.0,2.0
Sydney,Coffs Harbour,Virgin Australia,2004-01-01,31,6.0,8.0
Sydney,Darwin,Virgin Australia,2004-01-01,22,3.0,4.0
Sydney,Gold Coast,Virgin Australia,2004-01-01,208,43.0,44.0
Sydney,Melbourne,Virgin Australia,2004-01-01,562,68.0,59.0
Sydney,Perth,Virgin Australia,2004-01-01,124,22.0,27.0
Sydney,Sunshine Coast,Virgin Australia,2004-01-01,50,2.0,5.0
Townsville,Brisbane,Virgin Australia,2004-01-01,71,14.0,17.0
Adelaide,Brisbane,Qantas,2004-02-01,87,2.0,4.0
Adelaide,Canberra,Qantas,2004-02-01,45,3.0,3.0
Adelaide,Gold Coast,Qantas,2004-02-01,9,1.0,1.0
Adelaide,Melbourne,Qantas,2004-02-01,332,15.0,13.0
Adelaide,Perth,Qantas,2004-02-01,120,9.0,3.0
Adelaide,Sydney,Qantas,2004-02-01,292,8.0,10.0
Alice Springs,Sydney,Qantas,2004-02-01,29,1.0,1.0
Brisbane,Adelaide,Qantas,2004-02-01,87,11.0,1.0
Brisbane,Cairns,Qantas,2004-02-01,173,17.0,5.0
Brisbane,Canberra,Qantas,2004-02-01,87,5.0,3.0
Brisbane,Darwin,Qantas,2004-02-01,38,4.0,3.0
Brisbane,Melbourne,Qantas,2004-02-01,438,13.0,10.0
Brisbane,Perth,Qantas,2004-02-01,58,5.0,3.0
Brisbane,Sydney,Qantas,2004-02-01,604,43.0,57.0
Brisbane,Townsville,Qantas,2004-02-01,87,6.0,8.0
Broome,Perth,Qantas,2004-02-01,28,9.0,6.0
Cairns,Brisbane,Qantas,2004-02-01,173,3.0,6.0
Cairns,Melbourne,Qantas,2004-02-01,29,3.0,1.0
Cairns,Sydney,Qantas,2004-02-01,115,8.0,6.0
Canberra,Adelaide,Qantas,2004-02-01,45,2.0,1.0
Canberra,Brisbane,Qantas,2004-02-01,87,5.0,5.0
Canberra,Melbourne,Qantas,2004-02-01,230,15.0,13.0
Canberra,Sydney,Qantas,2004-02-01,132,9.0,11.0
Darwin,Brisbane,Qantas,2004-02-01,37,3.0,3.0
Darwin,Sydney,Qantas,2004-02-01,28,1.0,1.0
Gold Coast,Adelaide,Qantas,2004-02-01,9,1.0,0.0
Gold Coast,Melbourne,Qantas,2004-02-01,86,6.0,3.0
Gold Coast,Sydney,Qantas,2004-02-01,128,10.0,9.0
Kalgoorlie,Perth,Qantas,2004-02-01,44,11.0,8.0
Melbourne,Adelaide,Qantas,2004-02-01,335,14.0,8.0
Melbourne,Brisbane,Qantas,2004-02-01,441,18.0,18.0
Melbourne,Cairns,Qantas,2004-02-01,29,1.0,1.0
Melbourne,Canberra,Qantas,2004-02-01,201,18.0,11.0
Melbourne,Gold Coast,Qantas,2004-02-01,87,2.0,1.0
Melbourne,Perth,Qantas,2004-02-01,161,15.0,18.0
Melbourne,Sydney,Qantas,2004-02-01,807,58.0,72.0
Perth,Adelaide,Qantas,2004-02-01,116,6.0,5.0
Perth,Brisbane,Qantas,2004-02-01,58,4.0,7.0
Perth,Broome,Qantas,2004-02-01,28,8.0,8.0
Perth,Kalgoorlie,Qantas,2004-02-01,44,4.0,3.0
Perth,Melbourne,Qantas,2004-02-01,165,29.0,25.0
Perth,Sydney,Qantas,2004-02-01,140,17.0,11.0
Sydney,Adelaide,Qantas,2004-02-01,292,22.0,7.0
Sydney,Alice Springs,Qantas,2004-02-01,29,0.0,0.0
Sydney,Brisbane,Qantas,2004-02-01,600,38.0,42.0
Sydney,Cairns,Qantas,2004-02-01,116,14.0,5.0
Sydney,Canberra,Qantas,2004-02-01,161,16.0,11.0
Sydney,Darwin,Qantas,2004-02-01,28,2.0,2.0
Sydney,Gold Coast,Qantas,2004-02-01,129,10.0,9.0
Sydney,Melbourne,Qantas,2004-02-01,785,83.0,72.0
Sydney,Perth,Qantas,2004-02-01,145,12.0,12.0
Townsville,Brisbane,Qantas,2004-02-01,87,4.0,4.0
Albury,Sydney,QantasLink,2004-02-01,108,24.0,15.0
Brisbane,Canberra,QantasLink,2004-02-01,25,0.0,0.0
Brisbane,Mackay,QantasLink,2004-02-01,99,9.0,8.0
Brisbane,Proserpine,QantasLink,2004-02-01,17,1.0,1.0
Brisbane,Rockhampton,QantasLink,2004-02-01,163,9.0,9.0
Brisbane,Townsville,QantasLink,2004-02-01,25,2.0,3.0
Broome,Perth,QantasLink,2004-02-01,37,0.0,0.0
Burnie,Melbourne,QantasLink,2004-02-01,104,4.0,15.0
Canberra,Brisbane,QantasLink,2004-02-01,25,0.0,2.0
Canberra,Melbourne,QantasLink,2004-02-01,73,10.0,12.0
Canberra,Sydney,QantasLink,2004-02-01,474,50.0,80.0
Coffs Harbour,Sydney,QantasLink,2004-02-01,163,30.0,40.0
Devonport,Melbourne,QantasLink,2004-02-01,138,10.0,17.0
Dubbo,Sydney,QantasLink,2004-02-01,120,12.0,18.0
Gold Coast,Melbourne,QantasLink,2004-02-01,29,1.0,0.0
Gold Coast,Sydney,QantasLink,2004-02-01,58,2.0,2.0
Hobart,Melbourne,QantasLink,2004-02-01,261,13.0,15.0
Kalgoorlie,Perth,QantasLink,2004-02-01,33,2.0,1.0
Launceston,Melbourne,QantasLink,2004-02-01,145,6.0,3.0
Mackay,Brisbane,QantasLink,2004-02-01,99,6.0,5.0
Melbourne,Burnie,QantasLink,2004-02-01,104,11.0,10.0
Melbourne,Canberra,QantasLink,2004-02-01,72,10.0,8.0
Melbourne,Devonport,QantasLink,2004-02-01,138,13.0,11.0
Melbourne,Gold Coast,QantasLink,2004-02-01,29,2.0,2.0
Melbourne,Hobart,QantasLink,2004-02-01,261,16.0,14.0
Melbourne,Launceston,QantasLink,2004-02-01,145,11.0,13.0
Melbourne,Mildura,QantasLink,2004-02-01,131,18.0,23.0
Melbourne,Sunshine Coast,QantasLink,2004-02-01,29,1.0,2.0
Mildura,Melbourne,QantasLink,2004-02-01,131,19.0,19.0
Perth,Broome,QantasLink,2004-02-01,37,0.0,0.0
Perth,Kalgoorlie,QantasLink,2004-02-01,33,3.0,2.0
Proserpine,Brisbane,QantasLink,2004-02-01,17,1.0,1.0
Rockhampton,Brisbane,QantasLink,2004-02-01,115,4.0,3.0
Sunshine Coast,Melbourne,QantasLink,2004-02-01,29,3.0,1.0
Sunshine Coast,Sydney,QantasLink,2004-02-01,58,5.0,3.0
Sydney,Albury,QantasLink,2004-02-01,109,15.0,25.0
Sydney,Canberra,QantasLink,2004-02-01,473,49.0,68.0
Sydney,Coffs Harbour,QantasLink,2004-02-01,165,23.0,35.0
Sydney,Dubbo,QantasLink,2004-02-01,121,18.0,16.0
Sydney,Gold Coast,QantasLink,2004-02-01,58,6.0,6.0
Sydney,Sunshine Coast,QantasLink,2004-02-01,58,5.0,5.0
Sydney,Wagga Wagga,QantasLink,2004-02-01,120,17.0,25.0
Townsville,Brisbane,QantasLink,2004-02-01,25,1.0,1.0
Wagga Wagga,Sydney,QantasLink,2004-02-01,124,17.0,25.0
Albury,Sydney,Regional Express,2004-02-01,83,3.0,5.0
Burnie,Melbourne,Regional Express,2004-02-01,51,2.0,2.0
Canberra,Sydney,Regional Express,2004-02-01,129,6.0,5.0
Devonport,Melbourne,Regional Express,2004-02-01,36,2.0,2.0
Dubbo,Sydney,Regional Express,2004-02-01,97,13.0,15.0
Melbourne,Burnie,Regional Express,2004-02-01,51,2.0,2.0
Melbourne,Devonport,Regional Express,2004-02-01,36,2.0,2.0
Melbourne,Mildura,Regional Express,2004-02-01,50,5.0,3.0
Mildura,Melbourne,Regional Express,2004-02-01,50,2.0,1.0
Sydney,Albury,Regional Express,2004-02-01,83,10.0,8.0
Sydney,Canberra,Regional Express,2004-02-01,129,16.0,14.0
Sydney,Dubbo,Regional Express,2004-02-01,99,23.0,19.0
Sydney,Wagga Wagga,Regional Express,2004-02-01,79,14.0,11.0
Wagga Wagga,Sydney,Regional Express,2004-02-01,81,5.0,7.0
Broome,Perth,Skywest,2004-02-01,10,0.0,0.0
Kalgoorlie,Perth,Skywest,2004-02-01,29,1.0,1.0
Perth,Broome,Skywest,2004-02-01,10,0.0,1.0
Perth,Kalgoorlie,Skywest,2004-02-01,29,1.0,2.0
Adelaide,Brisbane,Virgin Australia,2004-02-01,58,7.0,15.0
Adelaide,Canberra,Virgin Australia,2004-02-01,24,1.0,1.0
Adelaide,Gold Coast,Virgin Australia,2004-02-01,29,3.0,8.0
Adelaide,Melbourne,Virgin Australia,2004-02-01,190,5.0,10.0
Adelaide,Perth,Virgin Australia,2004-02-01,58,5.0,11.0
Adelaide,Sydney,Virgin Australia,2004-02-01,145,10.0,19.0
Alice Springs,Sydney,Virgin Australia,2004-02-01,29,2.0,3.0
Brisbane,Adelaide,Virgin Australia,2004-02-01,58,5.0,4.0
Brisbane,Cairns,Virgin Australia,2004-02-01,86,4.0,2.0
Brisbane,Canberra,Virgin Australia,2004-02-01,78,7.0,9.0
Brisbane,Darwin,Virgin Australia,2004-02-01,29,3.0,2.0
Brisbane,Mackay,Virgin Australia,2004-02-01,58,2.0,3.0
Brisbane,Melbourne,Virgin Australia,2004-02-01,274,18.0,24.0
Brisbane,Perth,Virgin Australia,2004-02-01,29,5.0,2.0
Brisbane,Proserpine,Virgin Australia,2004-02-01,29,2.0,2.0
Brisbane,Rockhampton,Virgin Australia,2004-02-01,29,1.0,2.0
Brisbane,Sydney,Virgin Australia,2004-02-01,449,35.0,45.0
Brisbane,Townsville,Virgin Australia,2004-02-01,67,14.0,17.0
Cairns,Brisbane,Virgin Australia,2004-02-01,86,0.0,0.0
Cairns,Melbourne,Virgin Australia,2004-02-01,29,2.0,2.0
Cairns,Sydney,Virgin Australia,2004-02-01,58,5.0,6.0
Canberra,Adelaide,Virgin Australia,2004-02-01,25,2.0,2.0
Canberra,Brisbane,Virgin Australia,2004-02-01,78,5.0,6.0
Canberra,Melbourne,Virgin Australia,2004-02-01,77,3.0,7.0
Canberra,Sydney,Virgin Australia,2004-02-01,25,3.0,3.0
Coffs Harbour,Sydney,Virgin Australia,2004-02-01,29,3.0,4.0
Darwin,Brisbane,Virgin Australia,2004-02-01,29,1.0,4.0
Darwin,Sydney,Virgin Australia,2004-02-01,17,3.0,3.0
Gold Coast,Adelaide,Virgin Australia,2004-02-01,29,7.0,8.0
Gold Coast,Melbourne,Virgin Australia,2004-02-01,116,11.0,5.0
Gold Coast,Sydney,Virgin Australia,2004-02-01,196,14.0,17.0
Hobart,Melbourne,Virgin Australia,2004-02-01,112,14.0,13.0
Launceston,Melbourne,Virgin Australia,2004-02-01,83,11.0,9.0
Mackay,Brisbane,Virgin Australia,2004-02-01,58,2.0,3.0
Melbourne,Adelaide,Virgin Australia,2004-02-01,190,21.0,25.0
Melbourne,Brisbane,Virgin Australia,2004-02-01,274,27.0,28.0
Melbourne,Cairns,Virgin Australia,2004-02-01,29,5.0,6.0
Melbourne,Canberra,Virgin Australia,2004-02-01,79,3.0,3.0
Melbourne,Gold Coast,Virgin Australia,2004-02-01,115,6.0,7.0
Melbourne,Hobart,Virgin Australia,2004-02-01,112,11.0,14.0
Melbourne,Launceston,Virgin Australia,2004-02-01,83,8.0,10.0
Melbourne,Perth,Virgin Australia,2004-02-01,86,12.0,14.0
Melbourne,Sunshine Coast,Virgin Australia,2004-02-01,29,3.0,4.0
Melbourne,Sydney,Virgin Australia,2004-02-01,592,60.0,75.0
Perth,Adelaide,Virgin Australia,2004-02-01,57,4.0,4.0
Perth,Brisbane,Virgin Australia,2004-02-01,29,3.0,3.0
Perth,Melbourne,Virgin Australia,2004-02-01,88,8.0,10.0
Perth,Sydney,Virgin Australia,2004-02-01,87,10.0,7.0
Proserpine,Brisbane,Virgin Australia,2004-02-01,29,2.0,1.0
Rockhampton,Brisbane,Virgin Australia,2004-02-01,29,1.0,1.0
Sunshine Coast,Melbourne,Virgin Australia,2004-02-01,29,5.0,2.0
Sunshine Coast,Sydney,Virgin Australia,2004-02-01,29,4.0,3.0
Sydney,Adelaide,Virgin Australia,2004-02-01,145,12.0,12.0
Sydney,Alice Springs,Virgin Australia,2004-02-01,29,8.0,2.0
Sydney,Brisbane,Virgin Australia,2004-02-01,448,50.0,52.0
Sydney,Cairns,Virgin Australia,2004-02-01,58,8.0,3.0
Sydney,Canberra,Virgin Australia,2004-02-01,26,3.0,3.0
Sydney,Coffs Harbour,Virgin Australia,2004-02-01,29,1.0,3.0
Sydney,Darwin,Virgin Australia,2004-02-01,16,0.0,1.0
Sydney,Gold Coast,Virgin Australia,2004-02-01,196,26.0,22.0
Sydney,Melbourne,Virgin Australia,2004-02-01,591,54.0,49.0
Sydney,Perth,Virgin Australia,2004-02-01,87,11.0,8.0
Sydney,Sunshine Coast,Virgin Australia,2004-02-01,29,4.0,5.0
Townsville,Brisbane,Virgin Australia,2004-02-01,67,8.0,9.0
Adelaide,Brisbane,Qantas,2004-03-01,94,5.0,7.0
Adelaide,Canberra,Qantas,2004-03-01,50,4.0,4.0
Adelaide,Gold Coast,Qantas,2004-03-01,8,0.0,1.0
Adelaide,Melbourne,Qantas,2004-03-01,353,23.0,16.0
Adelaide,Perth,Qantas,2004-03-01,128,6.0,6.0
Adelaide,Sydney,Qantas,2004-03-01,316,10.0,8.0
Alice Springs,Sydney,Qantas,2004-03-01,31,0.0,0.0
Brisbane,Adelaide,Qantas,2004-03-01,93,14.0,4.0
Brisbane,Cairns,Qantas,2004-03-01,158,23.0,21.0
Brisbane,Canberra,Qantas,2004-03-01,118,17.0,7.0
Brisbane,Darwin,Qantas,2004-03-01,43,3.0,3.0
Brisbane,Melbourne,Qantas,2004-03-01,465,32.0,26.0
Brisbane,Perth,Qantas,2004-03-01,62,12.0,3.0
Brisbane,Sydney,Qantas,2004-03-01,642,44.0,38.0
Brisbane,Townsville,Qantas,2004-03-01,96,13.0,16.0
Broome,Perth,Qantas,2004-03-01,30,8.0,6.0
Cairns,Brisbane,Qantas,2004-03-01,158,13.0,14.0
Cairns,Melbourne,Qantas,2004-03-01,31,3.0,2.0
Cairns,Sydney,Qantas,2004-03-01,123,8.0,5.0
Canberra,Adelaide,Qantas,2004-03-01,50,3.0,2.0
Canberra,Brisbane,Qantas,2004-03-01,120,12.0,10.0
Canberra,Melbourne,Qantas,2004-03-01,251,17.0,14.0
Canberra,Sydney,Qantas,2004-03-01,143,10.0,5.0
Darwin,Brisbane,Qantas,2004-03-01,43,1.0,3.0
Darwin,Sydney,Qantas,2004-03-01,31,0.0,2.0
Gold Coast,Adelaide,Qantas,2004-03-01,8,1.0,0.0
Gold Coast,Melbourne,Qantas,2004-03-01,91,10.0,3.0
Gold Coast,Sydney,Qantas,2004-03-01,143,11.0,5.0
Kalgoorlie,Perth,Qantas,2004-03-01,50,10.0,8.0
Melbourne,Adelaide,Qantas,2004-03-01,364,29.0,16.0
Melbourne,Brisbane,Qantas,2004-03-01,469,31.0,37.0
Melbourne,Cairns,Qantas,2004-03-01,30,0.0,0.0
Melbourne,Canberra,Qantas,2004-03-01,220,23.0,16.0
Melbourne,Gold Coast,Qantas,2004-03-01,93,6.0,5.0
Melbourne,Newcastle,Qantas,2004-03-01,1,0.0,0.0
Melbourne,Perth,Qantas,2004-03-01,174,19.0,15.0
Melbourne,Sydney,Qantas,2004-03-01,881,62.0,62.0
Newcastle,Melbourne,Qantas,2004-03-01,1,0.0,0.0
Perth,Adelaide,Qantas,2004-03-01,124,5.0,2.0
Perth,Brisbane,Qantas,2004-03-01,62,4.0,5.0
Perth,Broome,Qantas,2004-03-01,30,6.0,6.0
Perth,Kalgoorlie,Qantas,2004-03-01,51,6.0,8.0
Perth,Melbourne,Qantas,2004-03-01,179,19.0,10.0
Perth,Sydney,Qantas,2004-03-01,150,12.0,17.0
Sydney,Adelaide,Qantas,2004-03-01,313,21.0,4.0
Sydney,Alice Springs,Qantas,2004-03-01,32,1.0,0.0
Sydney,Brisbane,Qantas,2004-03-01,637,21.0,27.0
Sydney,Cairns,Qantas,2004-03-01,124,8.0,4.0
Sydney,Canberra,Qantas,2004-03-01,174,7.0,6.0
