City1,City2,Month,Passenger_Trips,Aircraft_Trips,Route_Distance,Seats
ADELAIDE,GOLD COAST,Mar-84,1141,19,1607,2067
ADELAIDE,MELBOURNE,Mar-84,56871,677,643,81013
ADELAIDE,PERTH,Mar-84,15013,129,2120,18743
ADELAIDE,SYDNEY,Mar-84,35481,368,1167,47182
ALBURY,SYDNEY,Mar-84,10462,294,452,14840
ALICE SPRINGS,DARWIN,Mar-84,6842,71,1305,10136
ALICE SPRINGS,SYDNEY,Mar-84,2116,29,2022,3301
BRISBANE,CAIRNS,Mar-84,498,32,1391,1018
BRISBANE,CANBERRA,Mar-84,623,10,956,1178
BRISBANE,MACKAY,Mar-84,280,6,797,574
BRISBANE,MELBOURNE,Mar-84,21798,281,1381,31319
BRISBANE,PERTH,Mar-84,467,5,3615,720
BRISBANE,PROSERPINE,Mar-84,5248,73,895,7340
BRISBANE,ROCKHAMPTON,Mar-84,21016,278,518,26978
BRISBANE,SYDNEY,Mar-84,92267,943,753,129771
BRISBANE,TOWNSVILLE,Mar-84,30817,367,1112,38425
BROOME,PERTH,Mar-84,311,7,1677,462
CAIRNS,SYDNEY,Mar-84,77,1,1971,102
CANBERRA,MELBOURNE,Mar-84,31024,390,470,48475
CANBERRA,SYDNEY,Mar-84,45423,650,236,71196
COFFS HARBOUR,SYDNEY,Mar-84,5022,133,443,6879
DEVONPORT,MELBOURNE,Mar-84,6190,242,412,11813
DUBBO,SYDNEY,Mar-84,4574,124,310,6786
GOLD COAST,SYDNEY,Mar-84,29516,369,680,40712
HOBART,MELBOURNE,Mar-84,23966,379,618,36257
KALGOORLIE,PERTH,Mar-84,6037,232,538,10232
KARRATHA,PERTH,Mar-84,8047,153,1250,10317
LAUNCESTON,MELBOURNE,Mar-84,34447,581,476,47382
MELBOURNE,BURNIE,Mar-84,5952,266,378,11380
MELBOURNE,GOLD COAST,Mar-84,5894,68,1330,8220
MELBOURNE,MILDURA,Mar-84,3309,253,457,7257
MELBOURNE,NEWCASTLE,Mar-84,81,2,836,184
MELBOURNE,PERTH,Mar-84,23104,265,2706,29697
MELBOURNE,SYDNEY,Mar-84,166780,1461,706,230678
PERTH,SYDNEY,Mar-84,13765,122,3284,18017
SUNSHINE COAST,SYDNEY,Mar-84,3178,98,837,5028
SYDNEY,TOWNSVILLE,Mar-84,1041,13,1690,1276
SYDNEY,WAGGA WAGGA,Mar-84,4732,148,367,7694
ADELAIDE,ALICE SPRINGS,Apr-84,12809,123,1316,16443
ADELAIDE,BRISBANE,Apr-84,3198,36,1622,4393
ADELAIDE,CANBERRA,Apr-84,1223,14,972,1599
ADELAIDE,DARWIN,Apr-84,1186,16,2619,2052
ADELAIDE,GOLD COAST,Apr-84,833,15,1607,1469
ADELAIDE,MELBOURNE,Apr-84,53639,633,643,74810
ADELAIDE,PERTH,Apr-84,15758,134,2120,19478
ADELAIDE,SYDNEY,Apr-84,34894,358,1167,45673
ALBURY,SYDNEY,Apr-84,9366,243,452,12132
ALICE SPRINGS,DARWIN,Apr-84,7473,73,1305,10511
ALICE SPRINGS,SYDNEY,Apr-84,2272,25,2022,2924
BRISBANE,CAIRNS,Apr-84,3757,61,1391,4756
BRISBANE,CANBERRA,Apr-84,396,7,956,703
BRISBANE,DARWIN,Apr-84,1449,13,2852,1872
BRISBANE,MACKAY,Apr-84,1274,22,797,2009
BRISBANE,MELBOURNE,Apr-84,27681,292,1381,34558
BRISBANE,PERTH,Apr-84,535,5,3615,720
BRISBANE,PROSERPINE,Apr-84,7099,81,895,8808
BRISBANE,ROCKHAMPTON,Apr-84,20854,277,518,26978
BRISBANE,SYDNEY,Apr-84,101132,943,753,135203
BRISBANE,TOWNSVILLE,Apr-84,36569,366,1112,41889
BROOME,PERTH,Apr-84,399,10,1677,684
CAIRNS,SYDNEY,Apr-84,19,1,1971,102
CANBERRA,MELBOURNE,Apr-84,28168,358,470,42486
CANBERRA,SYDNEY,Apr-84,39736,575,236,62185
COFFS HARBOUR,SYDNEY,Apr-84,6204,164,443,8510
DARWIN,SYDNEY,Apr-84,76,1,3155,144
DEVONPORT,MELBOURNE,Apr-84,7688,292,412,13464
DUBBO,SYDNEY,Apr-84,5122,134,310,7164
GOLD COAST,SYDNEY,Apr-84,36758,426,680,50771
HOBART,MELBOURNE,Apr-84,29858,401,618,41585
KALGOORLIE,PERTH,Apr-84,5079,229,538,8551
KARRATHA,PERTH,Apr-84,7578,139,1250,9390
LAUNCESTON,MELBOURNE,Apr-84,34177,592,476,48205
MELBOURNE,BURNIE,Apr-84,7334,266,378,11197
MELBOURNE,GOLD COAST,Apr-84,13765,148,1330,18652
MELBOURNE,MILDURA,Apr-84,2405,242,457,6329
MELBOURNE,PERTH,Apr-84,23931,222,2706,30178
MELBOURNE,SYDNEY,Apr-84,153105,1355,706,208590
PERTH,SYDNEY,Apr-84,14839,128,3284,18927
SUNSHINE COAST,SYDNEY,Apr-84,4423,111,837,6495
SYDNEY,TOWNSVILLE,Apr-84,1680,18,1690,1767
SYDNEY,WAGGA WAGGA,Apr-84,5035,143,367,7437
ADELAIDE,ALICE SPRINGS,May-84,14490,135,1316,18769
ADELAIDE,BRISBANE,May-84,3378,34,1622,4410
ADELAIDE,CANBERRA,May-84,1347,13,972,1557
ADELAIDE,DARWIN,May-84,2790,32,2619,4189
ADELAIDE,GOLD COAST,May-84,1258,14,1607,1797
ADELAIDE,MELBOURNE,May-84,60701,714,643,84778
ADELAIDE,PERTH,May-84,16186,140,2120,20385
ADELAIDE,SYDNEY,May-84,39198,380,1167,49555
ALBURY,SYDNEY,May-84,10110,245,452,13147
ALICE SPRINGS,DARWIN,May-84,8919,82,1305,11720
ALICE SPRINGS,SYDNEY,May-84,2615,29,2022,3524
BRISBANE,CAIRNS,May-84,2187,34,1391,3279
BRISBANE,CANBERRA,May-84,462,8,956,816
BRISBANE,DARWIN,May-84,681,6,2852,864
BRISBANE,MACKAY,May-84,541,12,797,1156
BRISBANE,MELBOURNE,May-84,30108,345,1381,40797
BRISBANE,PERTH,May-84,438,4,3615,576
BRISBANE,PROSERPINE,May-84,6906,89,895,10096
BRISBANE,ROCKHAMPTON,May-84,21779,288,518,28581
BRISBANE,SYDNEY,May-84,99508,1010,753,141548
BRISBANE,TOWNSVILLE,May-84,34236,411,1112,42742
BROOME,PERTH,May-84,455,9,1677,610
CAIRNS,SYDNEY,May-84,231,3,1971,306
CANBERRA,MELBOURNE,May-84,33300,406,470,51152
CANBERRA,SYDNEY,May-84,47779,648,236,72065
COFFS HARBOUR,SYDNEY,May-84,5764,145,443,7545
DEVONPORT,MELBOURNE,May-84,6471,272,412,12614
DUBBO,SYDNEY,May-84,5621,141,310,7575
GOLD COAST,SYDNEY,May-84,32358,436,680,48440
HOBART,MELBOURNE,May-84,24970,385,618,36136
KALGOORLIE,PERTH,May-84,6084,245,538,10225
KARRATHA,PERTH,May-84,9872,179,1250,12024
LAUNCESTON,MELBOURNE,May-84,29011,611,476,43300
MELBOURNE,BURNIE,May-84,6107,271,378,11394
MELBOURNE,GOLD COAST,May-84,15224,150,1330,20601
MELBOURNE,MILDURA,May-84,3101,312,457,8182
MELBOURNE,PERTH,May-84,26253,259,2706,34139
MELBOURNE,SYDNEY,May-84,170378,1494,706,229620
PERTH,SYDNEY,May-84,17088,150,3284,22049
SUNSHINE COAST,SYDNEY,May-84,4194,104,837,6636
SYDNEY,TOWNSVILLE,May-84,6126,76,1690,8061
SYDNEY,WAGGA WAGGA,May-84,5092,149,367,7750
ADELAIDE,ALICE SPRINGS,Jun-84,11888,124,1316,16152
ADELAIDE,BRISBANE,Jun-84,2820,38,1622,4638
ADELAIDE,CANBERRA,Jun-84,798,10,972,1032
ADELAIDE,DARWIN,Jun-84,2952,27,2619,3510
ADELAIDE,GOLD COAST,Jun-84,973,18,1607,1850
ADELAIDE,MELBOURNE,Jun-84,51771,648,643,75468
ADELAIDE,PERTH,Jun-84,14465,126,2120,18149
