City1,City2,Month,Passenger_Trips,Aircraft_Trips,Route_Distance,Seats
CANBERRA,SYDNEY,Mar-96,68893,1621,236,118835
COFFS HARBOUR,SYDNEY,Mar-96,12924,393,443,20567
DARWIN,MELBOURNE,Mar-96,207,1,3131,226
DARWIN,SYDNEY,Mar-96,4507,60,3155,6991
DEVONPORT,MELBOURNE,Mar-96,11382,426,412,15354
DUBBO,SYDNEY,Mar-96,10570,566,310,15448
GOLD COAST,SYDNEY,Mar-96,110466,1126,680,148509
HOBART,MELBOURNE,Mar-96,63261,696,618,84383
HOBART,SYDNEY,Mar-96,9706,130,1039,12610
KALGOORLIE,PERTH,Mar-96,15794,356,538,22652
KARRATHA,PERTH,Mar-96,11407,309,1250,20371
LAUNCESTON,MELBOURNE,Mar-96,47736,640,476,64868
LAUNCESTON,SYDNEY,Mar-96,5552,73,914,7309
MELBOURNE,BURNIE,Mar-96,8069,359,378,12856
MELBOURNE,GOLD COAST,Mar-96,42283,399,1330,55316
MELBOURNE,MILDURA,Mar-96,7859,337,457,9919
MELBOURNE,PERTH,Mar-96,68284,546,2706,88812
MELBOURNE,SYDNEY,Mar-96,416424,3025,706,569031
PERTH,PORT HEDLAND,Mar-96,6781,209,1312,13633
PERTH,SYDNEY,Mar-96,69759,517,3284,90317
SUNSHINE COAST,MELBOURNE,Mar-96,2405,30,1454,3316
SUNSHINE COAST,SYDNEY,Mar-96,14693,177,837,19525
SYDNEY,TOWNSVILLE,Mar-96,1869,28,1690,3248
SYDNEY,WAGGA WAGGA,Mar-96,9741,459,367,14877
ADELAIDE,ALICE SPRINGS,Apr-96,13156,122,1316,16940
ADELAIDE,BRISBANE,Apr-96,12838,120,1622,15287
ADELAIDE,CANBERRA,Apr-96,8002,107,972,12475
ADELAIDE,DARWIN,Apr-96,10519,139,2619,18266
ADELAIDE,MELBOURNE,Apr-96,109201,1174,643,154598
ADELAIDE,PERTH,Apr-96,36633,349,2120,48909
ADELAIDE,PORT LINCOLN,Apr-96,8363,544,246,13048
ADELAIDE,SYDNEY,Apr-96,87819,865,1167,115631
ALBURY,SYDNEY,Apr-96,8877,361,452,12441
ALICE SPRINGS,DARWIN,Apr-96,11437,131,1305,17940
ALICE SPRINGS,SYDNEY,Apr-96,12694,130,2022,16186
BALLINA,SYDNEY,Apr-96,6836,168,612,9844
BRISBANE,CAIRNS,Apr-96,84905,747,1391,119501
BRISBANE,CANBERRA,Apr-96,15387,287,956,24203
BRISBANE,DARWIN,Apr-96,11782,131,2852,16350
BRISBANE,HAMILTON ISLAND,Apr-96,8736,118,888,14177
BRISBANE,MACKAY,Apr-96,18766,369,797,26406
BRISBANE,MELBOURNE,Apr-96,117152,1094,1381,152036
BRISBANE,NEWCASTLE,Apr-96,1809,266,614,5054
BRISBANE,PERTH,Apr-96,1049,9,3615,1296
BRISBANE,PROSERPINE,Apr-96,7290,141,895,9705
BRISBANE,ROCKHAMPTON,Apr-96,19307,440,518,27683
BRISBANE,SYDNEY,Apr-96,266322,2219,753,392066
BRISBANE,TOWNSVILLE,Apr-96,36356,409,1112,49647
BROOME,PERTH,Apr-96,9107,197,1677,12933
CAIRNS,MELBOURNE,Apr-96,3449,38,2311,5328
CAIRNS,SYDNEY,Apr-96,52020,379,1971,74295
CAIRNS,TOWNSVILLE,Apr-96,8987,446,284,14778
CANBERRA,MELBOURNE,Apr-96,58179,784,470,93348
CANBERRA,SYDNEY,Apr-96,61801,1796,236,113769
COFFS HARBOUR,SYDNEY,Apr-96,13505,382,443,20457
DARWIN,MELBOURNE,Apr-96,211,1,3131,226
DARWIN,SYDNEY,Apr-96,6181,83,3155,9678
DEVONPORT,MELBOURNE,Apr-96,10341,384,412,13831
DUBBO,SYDNEY,Apr-96,9771,563,310,15427
GOLD COAST,SYDNEY,Apr-96,117610,1115,680,155081
HOBART,MELBOURNE,Apr-96,64022,654,618,81832
HOBART,SYDNEY,Apr-96,7803,103,1039,11092
KALGOORLIE,PERTH,Apr-96,13000,309,538,19558
KARRATHA,PERTH,Apr-96,12501,316,1250,20777
LAUNCESTON,MELBOURNE,Apr-96,45324,538,476,57098
LAUNCESTON,SYDNEY,Apr-96,3685,54,914,5103
MELBOURNE,BURNIE,Apr-96,8116,319,378,11435
MELBOURNE,GOLD COAST,Apr-96,47281,387,1330,56976
MELBOURNE,MILDURA,Apr-96,6582,295,457,8863
MELBOURNE,PERTH,Apr-96,69701,531,2706,85121
MELBOURNE,SYDNEY,Apr-96,393889,2872,706,546732
PERTH,PORT HEDLAND,Apr-96,6478,205,1312,13278
PERTH,SYDNEY,Apr-96,69355,497,3284,87966
SUNSHINE COAST,MELBOURNE,Apr-96,2444,30,1454,3369
SUNSHINE COAST,SYDNEY,Apr-96,16053,172,837,19540
SYDNEY,TOWNSVILLE,Apr-96,3054,34,1690,4039
SYDNEY,WAGGA WAGGA,Apr-96,9452,401,367,12913
ADELAIDE,ALICE SPRINGS,May-96,11657,124,1316,17488
ADELAIDE,BRISBANE,May-96,12370,128,1622,16420
ADELAIDE,CANBERRA,May-96,8802,123,972,14445
ADELAIDE,DARWIN,May-96,11429,143,2619,18977
ADELAIDE,MELBOURNE,May-96,106981,1229,643,162171
ADELAIDE,PERTH,May-96,33590,360,2120,50163
ADELAIDE,PORT LINCOLN,May-96,7151,493,246,12184
ADELAIDE,SYDNEY,May-96,81808,898,1167,120311
ALBURY,SYDNEY,May-96,9099,426,452,14641
ALICE SPRINGS,DARWIN,May-96,12899,135,1305,18733
ALICE SPRINGS,SYDNEY,May-96,11810,134,2022,16590
BALLINA,SYDNEY,May-96,6712,167,612,10552
BRISBANE,CAIRNS,May-96,78426,756,1391,119148
BRISBANE,CANBERRA,May-96,14688,310,956,26377
BRISBANE,DARWIN,May-96,12791,132,2852,15917
BRISBANE,HAMILTON ISLAND,May-96,6531,115,888,12672
BRISBANE,MACKAY,May-96,19650,380,797,27739
BRISBANE,MELBOURNE,May-96,107560,1134,1381,151609
BRISBANE,NEWCASTLE,May-96,2025,263,614,4997
BRISBANE,PERTH,May-96,782,9,3615,1296
BRISBANE,PROSERPINE,May-96,6171,144,895,9681
BRISBANE,ROCKHAMPTON,May-96,21289,466,518,29566
BRISBANE,SYDNEY,May-96,244732,2279,753,397432
BRISBANE,TOWNSVILLE,May-96,35568,414,1112,50476
BROOME,PERTH,May-96,9486,200,1677,13058
CAIRNS,MELBOURNE,May-96,3118,33,2311,5032
CAIRNS,SYDNEY,May-96,45726,381,1971,73301
CAIRNS,TOWNSVILLE,May-96,8742,473,284,15469
CANBERRA,MELBOURNE,May-96,60534,858,470,102589
CANBERRA,SYDNEY,May-96,69166,1956,236,124237
COFFS HARBOUR,SYDNEY,May-96,12302,382,443,19118
DARWIN,MELBOURNE,May-96,221,1,3131,226
DARWIN,SYDNEY,May-96,7267,94,3155,11004
DEVONPORT,MELBOURNE,May-96,8143,432,412,15458
DUBBO,SYDNEY,May-96,9461,621,310,16384
GOLD COAST,SYDNEY,May-96,98707,1041,680,140047
HOBART,MELBOURNE,May-96,59007,668,618,83356
HOBART,SYDNEY,May-96,4674,68,1039,7274
KALGOORLIE,PERTH,May-96,15294,337,538,21383
KARRATHA,PERTH,May-96,13333,336,1250,22205
LAUNCESTON,MELBOURNE,May-96,37770,540,476,56987
LAUNCESTON,SYDNEY,May-96,1949,35,914,3264
MELBOURNE,BURNIE,May-96,7017,362,378,12913
MELBOURNE,GOLD COAST,May-96,37942,337,1330,48821
MELBOURNE,MILDURA,May-96,7419,351,457,10129
MELBOURNE,PERTH,May-96,61364,547,2706,87483
MELBOURNE,SYDNEY,May-96,389012,2950,706,561891
PERTH,PORT HEDLAND,May-96,6933,224,1312,14573
PERTH,SYDNEY,May-96,61526,512,3284,90090
SUNSHINE COAST,MELBOURNE,May-96,2614,32,1454,3594
SUNSHINE COAST,SYDNEY,May-96,14677,166,837,19126
SYDNEY,TOWNSVILLE,May-96,2160,26,1690,3017
SYDNEY,WAGGA WAGGA,May-96,9534,470,367,15161
ADELAIDE,ALICE SPRINGS,Jun-96,12063,121,1316,16104
ADELAIDE,BRISBANE,Jun-96,11618,125,1622,16060
ADELAIDE,CANBERRA,Jun-96,7236,107,972,12625
ADELAIDE,DARWIN,Jun-96,14358,144,2619,18093
ADELAIDE,MELBOURNE,Jun-96,101736,1165,643,152142
ADELAIDE,PERTH,Jun-96,30687,354,2120,48748
ADELAIDE,PORT LINCOLN,Jun-96,6804,484,246,11775
ADELAIDE,SYDNEY,Jun-96,78846,869,1167,115882
ALBURY,SYDNEY,Jun-96,9589,405,452,13885
ALICE SPRINGS,DARWIN,Jun-96,13668,129,1305,17037
ALICE SPRINGS,SYDNEY,Jun-96,12491,129,2022,16100
BALLINA,SYDNEY,Jun-96,6422,155,612,10042
BRISBANE,CAIRNS,Jun-96,88760,742,1391,116934
BRISBANE,CANBERRA,Jun-96,14080,286,956,24116
BRISBANE,DARWIN,Jun-96,15393,130,2852,17644
BRISBANE,HAMILTON ISLAND,Jun-96,7716,119,888,12836
BRISBANE,MACKAY,Jun-96,19016,355,797,26635
BRISBANE,MELBOURNE,Jun-96,111498,1110,1381,152022
BRISBANE,NEWCASTLE,Jun-96,2057,277,614,5263
BRISBANE,PERTH,Jun-96,720,7,3615,1008
BRISBANE,PROSERPINE,Jun-96,6532,134,895,9138
BRISBANE,ROCKHAMPTON,Jun-96,21391,449,518,28642
BRISBANE,SYDNEY,Jun-96,253891,2249,753,389852
BRISBANE,TOWNSVILLE,Jun-96,37784,387,1112,47965
BROOME,PERTH,Jun-96,11556,215,1677,13606
CAIRNS,MELBOURNE,Jun-96,6007,53,2311,7713
CAIRNS,SYDNEY,Jun-96,54101,394,1971,76382
CAIRNS,TOWNSVILLE,Jun-96,9692,446,284,14555
CANBERRA,MELBOURNE,Jun-96,52451,774,470,90977
CANBERRA,SYDNEY,Jun-96,63560,1784,236,114334
COFFS HARBOUR,SYDNEY,Jun-96,11693,371,443,18754
DARWIN,MELBOURNE,Jun-96,127,2,3131,228
DARWIN,SYDNEY,Jun-96,9807,97,3155,11970
DEVONPORT,MELBOURNE,Jun-96,9629,408,412,14626
DUBBO,SYDNEY,Jun-96,9334,564,310,15179
GOLD COAST,SYDNEY,Jun-96,107228,1067,680,148248
HOBART,MELBOURNE,Jun-96,60330,653,618,81788
HOBART,SYDNEY,Jun-96,3441,47,1039,4810
KALGOORLIE,PERTH,Jun-96,14295,327,538,23810
KARRATHA,PERTH,Jun-96,12027,313,1250,20870
LAUNCESTON,MELBOURNE,Jun-96,36913,518,476,50886
LAUNCESTON,SYDNEY,Jun-96,2028,36,914,3400
MELBOURNE,BURNIE,Jun-96,8176,349,378,12452
MELBOURNE,GOLD COAST,Jun-96,44852,370,1330,55248
MELBOURNE,MILDURA,Jun-96,7087,325,457,9596
MELBOURNE,PERTH,Jun-96,59088,528,2706,84656
MELBOURNE,SYDNEY,Jun-96,376162,2809,706,531725
PERTH,PORT HEDLAND,Jun-96,7731,249,1312,16372
PERTH,SYDNEY,Jun-96,59421,498,3284,87665
SUNSHINE COAST,MELBOURNE,Jun-96,3615,40,1454,4474
SUNSHINE COAST,SYDNEY,Jun-96,13931,162,837,18532
SYDNEY,TOWNSVILLE,Jun-96,2951,32,1690,3806
SYDNEY,WAGGA WAGGA,Jun-96,9581,441,367,14337
ADELAIDE,ALICE SPRINGS,Jul-96,14321,127,1316,16958
ADELAIDE,BRISBANE,Jul-96,13968,134,1622,17390
ADELAIDE,CANBERRA,Jul-96,7990,122,972,14350
ADELAIDE,DARWIN,Jul-96,17493,158,2619,20172
ADELAIDE,GOLD COAST,Jul-96,291,3,1607,343
ADELAIDE,MELBOURNE,Jul-96,109268,1252,643,167323
ADELAIDE,PERTH,Jul-96,36041,396,2120,54085
ADELAIDE,PORT LINCOLN,Jul-96,7635,562,246,13533
ADELAIDE,SYDNEY,Jul-96,88503,924,1167,124190
ALBURY,SYDNEY,Jul-96,10653,426,452,14678
ALICE SPRINGS,DARWIN,Jul-96,15580,136,1305,17942
ALICE SPRINGS,SYDNEY,Jul-96,14529,134,2022,16710
BALLINA,SYDNEY,Jul-96,6365,169,612,10580
BRISBANE,CAIRNS,Jul-96,103715,802,1391,132068
BRISBANE,CANBERRA,Jul-96,16274,324,956,27003
BRISBANE,DARWIN,Jul-96,17181,132,2852,18494
BRISBANE,HAMILTON ISLAND,Jul-96,6848,121,888,13324
BRISBANE,MACKAY,Jul-96,20234,404,797,32737
BRISBANE,MELBOURNE,Jul-96,129810,1243,1381,170828
BRISBANE,NEWCASTLE,Jul-96,1512,131,614,2489
BRISBANE,PERTH,Jul-96,1149,13,3615,1763
BRISBANE,PROSERPINE,Jul-96,7982,128,895,10444
BRISBANE,ROCKHAMPTON,Jul-96,22023,483,518,34952
BRISBANE,SYDNEY,Jul-96,275023,2363,753,413277
BRISBANE,TOWNSVILLE,Jul-96,40368,421,1112,51296
BROOME,PERTH,Jul-96,13604,252,1677,16279
CAIRNS,MELBOURNE,Jul-96,5680,48,2311,7608
CAIRNS,SYDNEY,Jul-96,61898,411,1971,84457
CAIRNS,TOWNSVILLE,Jul-96,9897,479,284,15619
CANBERRA,MELBOURNE,Jul-96,50534,818,470,98710
CANBERRA,SYDNEY,Jul-96,67404,1914,236,122373
COFFS HARBOUR,SYDNEY,Jul-96,12127,401,443,20808
DARWIN,MELBOURNE,Jul-96,327,3,3131,456
DARWIN,SYDNEY,Jul-96,10752,101,3155,12216
DEVONPORT,MELBOURNE,Jul-96,8791,422,412,15126
DUBBO,SYDNEY,Jul-96,9042,595,310,15977
GOLD COAST,SYDNEY,Jul-96,113355,1118,680,155163
HOBART,MELBOURNE,Jul-96,55675,626,618,80207
HOBART,SYDNEY,Jul-96,4897,80,1039,8823
KALGOORLIE,PERTH,Jul-96,17010,374,538,27733
KARRATHA,PERTH,Jul-96,14799,350,1250,23051
LAUNCESTON,MELBOURNE,Jul-96,35734,530,476,57564
LAUNCESTON,SYDNEY,Jul-96,2714,51,914,4738
MELBOURNE,BURNIE,Jul-96,7449,358,378,12764
MELBOURNE,GOLD COAST,Jul-96,48231,370,1330,56875
MELBOURNE,MILDURA,Jul-96,7033,347,457,9984
MELBOURNE,PERTH,Jul-96,68255,601,2706,92798
MELBOURNE,SYDNEY,Jul-96,403030,3046,706,595732
PERTH,PORT HEDLAND,Jul-96,8565,266,1312,16814
PERTH,SYDNEY,Jul-96,67091,549,3284,93899
SUNSHINE COAST,MELBOURNE,Jul-96,3215,32,1454,3775
SUNSHINE COAST,SYDNEY,Jul-96,15571,161,837,18697
SYDNEY,TOWNSVILLE,Jul-96,4496,53,1690,6126
SYDNEY,WAGGA WAGGA,Jul-96,9426,468,367,15148
ADELAIDE,ALICE SPRINGS,Aug-96,13514,126,1316,16874
ADELAIDE,BRISBANE,Aug-96,13715,134,1622,17484
ADELAIDE,CANBERRA,Aug-96,7266,118,972,13927
ADELAIDE,DARWIN,Aug-96,15634,155,2619,19622
ADELAIDE,MELBOURNE,Aug-96,107992,1234,643,162783
ADELAIDE,PERTH,Aug-96,32621,367,2120,49255
ADELAIDE,PORT LINCOLN,Aug-96,7136,520,246,12572
ADELAIDE,SYDNEY,Aug-96,82446,898,1167,119159
ALBURY,SYDNEY,Aug-96,10427,427,452,14738
ALICE SPRINGS,DARWIN,Aug-96,15216,134,1305,17850
ALICE SPRINGS,SYDNEY,Aug-96,14139,132,2022,16580
BALLINA,SYDNEY,Aug-96,6257,162,612,10208
BRISBANE,CAIRNS,Aug-96,103385,800,1391,131662
BRISBANE,CANBERRA,Aug-96,15961,314,956,26585
BRISBANE,DARWIN,Aug-96,16548,133,2852,18687
BRISBANE,HAMILTON ISLAND,Aug-96,7856,124,888,13996
BRISBANE,MACKAY,Aug-96,20097,400,797,33144
BRISBANE,MELBOURNE,Aug-96,124461,1232,1381,167274
BRISBANE,NEWCASTLE,Aug-96,1423,117,614,2223
BRISBANE,PERTH,Aug-96,1435,17,3615,2311
BRISBANE,PROSERPINE,Aug-96,8144,124,895,10295
BRISBANE,ROCKHAMPTON,Aug-96,21708,474,518,35151
BRISBANE,SYDNEY,Aug-96,275059,2303,753,403305
BRISBANE,TOWNSVILLE,Aug-96,38064,416,1112,50043
BROOME,PERTH,Aug-96,12493,237,1677,15709
CAIRNS,MELBOURNE,Aug-96,5575,50,2311,8115
CAIRNS,SYDNEY,Aug-96,61863,403,1971,82296
CAIRNS,TOWNSVILLE,Aug-96,9413,473,284,15455
CANBERRA,MELBOURNE,Aug-96,52174,829,470,98540
CANBERRA,SYDNEY,Aug-96,67884,1879,236,119660
COFFS HARBOUR,SYDNEY,Aug-96,11386,428,443,20243
DARWIN,SYDNEY,Aug-96,10457,103,3155,12456
DEVONPORT,MELBOURNE,Aug-96,8060,428,412,15385
DUBBO,SYDNEY,Aug-96,9719,603,310,16219
GOLD COAST,SYDNEY,Aug-96,107204,1070,680,147109
HOBART,MELBOURNE,Aug-96,58055,673,618,86552
HOBART,SYDNEY,Aug-96,2239,34,1039,3578
KALGOORLIE,PERTH,Aug-96,16503,373,538,27739
KARRATHA,PERTH,Aug-96,14177,343,1250,22671
LAUNCESTON,MELBOURNE,Aug-96,35185,534,476,57689
LAUNCESTON,SYDNEY,Aug-96,1800,35,914,3289
MELBOURNE,BURNIE,Aug-96,6783,363,378,12965
MELBOURNE,GOLD COAST,Aug-96,49439,384,1330,57473
MELBOURNE,MILDURA,Aug-96,7082,345,457,9982
MELBOURNE,PERTH,Aug-96,69138,613,2706,93164
MELBOURNE,SYDNEY,Aug-96,396948,2984,706,598581
PERTH,PORT HEDLAND,Aug-96,7407,253,1312,16082
PERTH,SYDNEY,Aug-96,67185,569,3284,96409
SUNSHINE COAST,MELBOURNE,Aug-96,3725,36,1454,4151
SUNSHINE COAST,SYDNEY,Aug-96,15988,165,837,19143
SYDNEY,TOWNSVILLE,Aug-96,3196,36,1690,4222
SYDNEY,WAGGA WAGGA,Aug-96,9273,465,367,15017
ADELAIDE,ALICE SPRINGS,Sep-96,12436,122,1316,15897
ADELAIDE,BRISBANE,Sep-96,14072,132,1622,17208
ADELAIDE,CANBERRA,Sep-96,8285,115,972,13560
ADELAIDE,DARWIN,Sep-96,12701,151,2619,18905
ADELAIDE,MELBOURNE,Sep-96,110409,1205,643,160582
ADELAIDE,PERTH,Sep-96,37167,366,2120,49203
ADELAIDE,PORT LINCOLN,Sep-96,7594,508,246,12133
ADELAIDE,SYDNEY,Sep-96,85671,876,1167,116649
ALBURY,SYDNEY,Sep-96,10070,411,452,14231
ALICE SPRINGS,DARWIN,Sep-96,12297,134,1305,16863
ALICE SPRINGS,SYDNEY,Sep-96,12098,128,2022,15666
BALLINA,SYDNEY,Sep-96,7258,217,612,10620
BRISBANE,CAIRNS,Sep-96,91305,771,1391,127107
BRISBANE,CANBERRA,Sep-96,15975,311,956,26083
BRISBANE,DARWIN,Sep-96,13927,129,2852,18034
BRISBANE,HAMILTON ISLAND,Sep-96,10039,120,888,13724
BRISBANE,MACKAY,Sep-96,21418,386,797,31982
BRISBANE,MELBOURNE,Sep-96,134241,1234,1381,174371
BRISBANE,NEWCASTLE,Sep-96,1485,115,614,2185
BRISBANE,PERTH,Sep-96,2451,22,3615,2993
BRISBANE,PROSERPINE,Sep-96,8661,120,895,10083
BRISBANE,ROCKHAMPTON,Sep-96,21923,455,518,34066
BRISBANE,SYDNEY,Sep-96,264082,2232,753,393505
BRISBANE,TOWNSVILLE,Sep-96,38902,402,1112,48700
BROOME,PERTH,Sep-96,11207,228,1677,14719
CAIRNS,MELBOURNE,Sep-96,5803,52,2311,8058
CAIRNS,SYDNEY,Sep-96,56401,395,1971,79743
CAIRNS,TOWNSVILLE,Sep-96,9489,504,284,16450
CANBERRA,MELBOURNE,Sep-96,53618,788,470,95105
CANBERRA,SYDNEY,Sep-96,69370,1857,236,117515
COFFS HARBOUR,SYDNEY,Sep-96,13230,447,443,20877
DARWIN,SYDNEY,Sep-96,8451,98,3155,11600
DEVONPORT,MELBOURNE,Sep-96,9697,414,412,14887
DUBBO,SYDNEY,Sep-96,10106,590,310,15612
GOLD COAST,SYDNEY,Sep-96,118955,1056,680,148335
HOBART,MELBOURNE,Sep-96,67596,671,618,88694
HOBART,SYDNEY,Sep-96,6632,87,1039,9590
KALGOORLIE,PERTH,Sep-96,16789,360,538,27141
KARRATHA,PERTH,Sep-96,13964,331,1250,22509
LAUNCESTON,MELBOURNE,Sep-96,43859,540,476,58518
LAUNCESTON,SYDNEY,Sep-96,3480,52,914,4851
MELBOURNE,BURNIE,Sep-96,8459,355,378,12642
MELBOURNE,GOLD COAST,Sep-96,57043,419,1330,62789
MELBOURNE,MILDURA,Sep-96,7259,331,457,9559
MELBOURNE,PERTH,Sep-96,78842,615,2706,96853
MELBOURNE,SYDNEY,Sep-96,413692,2976,706,600264
PERTH,PORT HEDLAND,Sep-96,7611,265,1312,17096
PERTH,SYDNEY,Sep-96,74680,553,3284,94990
SUNSHINE COAST,MELBOURNE,Sep-96,4160,39,1454,4488
SUNSHINE COAST,SYDNEY,Sep-96,17514,171,837,19937
SYDNEY,TOWNSVILLE,Sep-96,4797,54,1690,6448
SYDNEY,WAGGA WAGGA,Sep-96,10066,453,367,14745
ADELAIDE,ALICE SPRINGS,Oct-96,14219,131,1316,17542
ADELAIDE,BRISBANE,Oct-96,14750,136,1622,17705
ADELAIDE,CANBERRA,Oct-96,9021,122,972,14508
ADELAIDE,DARWIN,Oct-96,11501,145,2619,18393
ADELAIDE,GOLD COAST,Oct-96,113,1,1607,114
ADELAIDE,MELBOURNE,Oct-96,116549,1233,643,164238
ADELAIDE,PERTH,Oct-96,36910,372,2120,50345
ADELAIDE,PORT LINCOLN,Oct-96,8454,528,246,12704
ADELAIDE,SYDNEY,Oct-96,93097,950,1167,125840
ALBURY,SYDNEY,Oct-96,10394,422,452,14186
ALICE SPRINGS,DARWIN,Oct-96,15112,190,1305,21784
ALICE SPRINGS,SYDNEY,Oct-96,13023,130,2022,16121
BALLINA,SYDNEY,Oct-96,7911,228,612,11068
BRISBANE,CAIRNS,Oct-96,92931,793,1391,130903
BRISBANE,CANBERRA,Oct-96,17349,328,956,27923
BRISBANE,DARWIN,Oct-96,12680,131,2852,17402
BRISBANE,HAMILTON ISLAND,Oct-96,11235,129,888,15386
BRISBANE,MACKAY,Oct-96,21230,401,797,33121
BRISBANE,MELBOURNE,Oct-96,136828,1320,1381,180833
BRISBANE,NEWCASTLE,Oct-96,1608,119,614,2261
BRISBANE,PERTH,Oct-96,2290,23,3615,3183
BRISBANE,PROSERPINE,Oct-96,8810,126,895,10646
BRISBANE,ROCKHAMPTON,Oct-96,21599,484,518,35827
BRISBANE,SYDNEY,Oct-96,279759,2300,753,403963
BRISBANE,TOWNSVILLE,Oct-96,37798,419,1112,49973
BROOME,PERTH,Oct-96,11465,247,1677,15608
CAIRNS,MELBOURNE,Oct-96,5695,49,2311,7756
CAIRNS,SYDNEY,Oct-96,57292,404,1971,81291
CAIRNS,TOWNSVILLE,Oct-96,9686,565,284,18366
CANBERRA,MELBOURNE,Oct-96,62224,838,470,102262
CANBERRA,SYDNEY,Oct-96,70704,1935,236,122194
COFFS HARBOUR,SYDNEY,Oct-96,14573,468,443,21843
DARWIN,SYDNEY,Oct-96,8919,107,3155,12600
DEVONPORT,MELBOURNE,Oct-96,9155,419,412,15083
DUBBO,SYDNEY,Oct-96,9805,617,310,15930
GOLD COAST,SYDNEY,Oct-96,127710,1094,680,152458
HOBART,MELBOURNE,Oct-96,63035,584,618,79597
HOBART,SYDNEY,Oct-96,8523,114,1039,12678
KALGOORLIE,PERTH,Oct-96,17365,366,538,28409
KARRATHA,PERTH,Oct-96,14386,353,1250,23789
LAUNCESTON,MELBOURNE,Oct-96,44095,545,476,59779
LAUNCESTON,SYDNEY,Oct-96,3820,49,914,4600
MELBOURNE,BURNIE,Oct-96,7737,365,378,13064
MELBOURNE,GOLD COAST,Oct-96,54768,420,1330,61767
MELBOURNE,MILDURA,Oct-96,7983,348,457,10237
MELBOURNE,PERTH,Oct-96,76279,617,2706,94919
MELBOURNE,SYDNEY,Oct-96,421743,3094,706,618333
PERTH,PORT HEDLAND,Oct-96,8358,270,1312,17343
PERTH,SYDNEY,Oct-96,76850,582,3284,98823
SUNSHINE COAST,MELBOURNE,Oct-96,3349,32,1454,3734
SUNSHINE COAST,SYDNEY,Oct-96,18342,176,837,20303
SYDNEY,TOWNSVILLE,Oct-96,5088,58,1690,7045
SYDNEY,WAGGA WAGGA,Oct-96,11073,467,367,15714
ADELAIDE,ALICE SPRINGS,Nov-96,13179,122,1316,17187
ADELAIDE,BRISBANE,Nov-96,11935,125,1622,16064
ADELAIDE,CANBERRA,Nov-96,7921,113,972,13226
ADELAIDE,DARWIN,Nov-96,9457,130,2619,17096
ADELAIDE,MELBOURNE,Nov-96,103598,1140,643,150549
ADELAIDE,PERTH,Nov-96,30825,348,2120,46447
ADELAIDE,PORT LINCOLN,Nov-96,7717,510,246,12070
ADELAIDE,SYDNEY,Nov-96,81132,890,1167,117087
ALBURY,SYDNEY,Nov-96,9398,413,452,14005
ALICE SPRINGS,DARWIN,Nov-96,12606,190,1305,22948
ALICE SPRINGS,SYDNEY,Nov-96,11693,128,2022,15991
BALLINA,SYDNEY,Nov-96,6936,211,612,10478
BRISBANE,CAIRNS,Nov-96,83358,759,1391,123397
BRISBANE,CANBERRA,Nov-96,15383,308,956,28352
BRISBANE,DARWIN,Nov-96,9750,128,2852,15054
BRISBANE,HAMILTON ISLAND,Nov-96,10209,121,888,14896
BRISBANE,MACKAY,Nov-96,20277,396,797,32679
BRISBANE,MELBOURNE,Nov-96,122969,1247,1381,170911
BRISBANE,NEWCASTLE,Nov-96,1450,105,614,1995
BRISBANE,PERTH,Nov-96,2322,27,3615,3820
BRISBANE,PROSERPINE,Nov-96,7613,118,895,9720
BRISBANE,ROCKHAMPTON,Nov-96,20211,467,518,34254
BRISBANE,SYDNEY,Nov-96,256793,2008,753,361998
BRISBANE,TOWNSVILLE,Nov-96,32896,404,1112,46912
BROOME,PERTH,Nov-96,9382,233,1677,15261
CAIRNS,MELBOURNE,Nov-96,4723,49,2311,7920
CAIRNS,SYDNEY,Nov-96,54545,411,1971,80193
CAIRNS,TOWNSVILLE,Nov-96,9032,606,284,19383
CANBERRA,MELBOURNE,Nov-96,58481,786,470,96440
CANBERRA,SYDNEY,Nov-96,66882,1850,236,115617
COFFS HARBOUR,SYDNEY,Nov-96,13076,431,443,20294
DARWIN,MELBOURNE,Nov-96,377,1,3131,420
DARWIN,SYDNEY,Nov-96,7340,98,3155,11646
DEVONPORT,MELBOURNE,Nov-96,9425,406,412,14611
DUBBO,SYDNEY,Nov-96,9835,585,310,15143
GOLD COAST,SYDNEY,Nov-96,107923,975,680,133870
HOBART,MELBOURNE,Nov-96,63010,577,618,78484
HOBART,SYDNEY,Nov-96,5613,74,1039,8144
KALGOORLIE,PERTH,Nov-96,16694,346,538,27268
KARRATHA,PERTH,Nov-96,13442,322,1250,21705
LAUNCESTON,MELBOURNE,Nov-96,43998,525,476,58583
LAUNCESTON,SYDNEY,Nov-96,3611,45,914,4571
MELBOURNE,BURNIE,Nov-96,7425,351,378,12591
MELBOURNE,GOLD COAST,Nov-96,47431,379,1330,56505
MELBOURNE,MILDURA,Nov-96,7654,331,457,9596
MELBOURNE,PERTH,Nov-96,68135,591,2706,91854
MELBOURNE,SYDNEY,Nov-96,416035,2889,706,581291
PERTH,PORT HEDLAND,Nov-96,8257,266,1312,17388
PERTH,SYDNEY,Nov-96,72325,593,3284,100437
SUNSHINE COAST,MELBOURNE,Nov-96,3544,36,1454,4248
SUNSHINE COAST,SYDNEY,Nov-96,14300,137,837,16111
SYDNEY,TOWNSVILLE,Nov-96,2583,36,1690,4232
